1768541633 INTERNAL *** MONITORD_STARTED ***
1768541632 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768541633 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768541633 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768541638 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768541638 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768541640 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768541643 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768541643 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768541641 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768541643 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768541643 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768541643 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768541648 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768541643 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768541648 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768541653 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768541653 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768541653 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768541656 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768541658 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768541658 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768541658 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768541663 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768541665 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768541913 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768541914 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768541914 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768541914 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768541919 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768541924 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768541924 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768541924 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768541924 count_ID0000002 EXECUTE 7.0 condorpool - 6
1768541925 count_ID0000002 JOB_TERMINATED 7.0 condorpool - 6
1768541929 count_ID0000002 JOB_SUCCESS 0 condorpool - 6
1768541929 count_ID0000002 POST_SCRIPT_STARTED 7.0 condorpool - 6
1768541926 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1768541929 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1768541929 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1768541929 count_ID0000002 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1768541934 count_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 6
1768541929 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1768541934 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1768541939 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1768541939 stage_out_local_local_1_0 SUBMIT 9.0 local - 8
1768541939 register_local_0_0 SUBMIT 10.0 local - 9
1768541939 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1768541939 stage_out_local_local_1_0 EXECUTE 9.0 local - 8
1768541939 register_local_0_0 EXECUTE 10.0 local - 9
1768541941 register_local_0_0 JOB_TERMINATED 10.0 local - 9
1768541944 register_local_0_0 JOB_SUCCESS 0 local - 9
1768541944 register_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1768541942 stage_out_local_local_1_0 JOB_TERMINATED 9.0 local - 8
1768541944 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 8
1768541944 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9.0 local - 8
1768541943 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1768541944 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1768541944 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1768541944 register_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1768541949 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 9
1768541944 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1768541949 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1768541944 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1768541949 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1768541954 clean_up_local_level_4_0 SUBMIT 11.0 local - 10
1768541954 register_local_1_0 SUBMIT 12.0 local - 11
1768541954 clean_up_local_level_4_0 EXECUTE 11.0 local - 10
