1768444972 INTERNAL *** MONITORD_STARTED ***
1768444971 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768444972 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768444972 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768444976 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768444976 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768444978 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768444982 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768444982 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768444979 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768444982 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768444982 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768444982 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768444987 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768444982 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768444987 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768444992 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768444992 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768444992 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768444994 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768444997 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768444997 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768444997 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768445002 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768445016 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768445083 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768445087 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768445087 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768445087 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768445092 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768445097 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768445097 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768445097 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
