1768530355 INTERNAL *** MONITORD_STARTED ***
1768530354 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768530355 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768530355 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768530360 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768530360 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768530362 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768530365 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768530365 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768530363 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768530365 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768530365 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768530365 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768530370 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768530365 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768530370 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768530375 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768530375 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768530375 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768530377 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768530380 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768530380 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768530380 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768530385 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768530397 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768530465 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768530465 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768530465 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768530465 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768530470 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768530475 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768530475 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768530475 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768530475 count_ID0000002 EXECUTE 7.0 condorpool - 6
1768530478 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1768530480 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1768530480 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1768530478 count_ID0000002 JOB_TERMINATED 7.0 condorpool - 6
1768530480 count_ID0000002 JOB_SUCCESS 0 condorpool - 6
1768530480 count_ID0000002 POST_SCRIPT_STARTED 7.0 condorpool - 6
1768530480 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1768530485 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1768530480 count_ID0000002 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1768530485 count_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 6
1768530490 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1768530490 stage_out_local_local_1_0 SUBMIT 9.0 local - 8
1768530490 register_local_0_0 SUBMIT 10.0 local - 9
1768530490 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1768530490 stage_out_local_local_1_0 EXECUTE 9.0 local - 8
1768530490 register_local_0_0 EXECUTE 10.0 local - 9
1768530492 register_local_0_0 JOB_TERMINATED 10.0 local - 9
1768530495 register_local_0_0 JOB_SUCCESS 0 local - 9
1768530495 register_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1768530493 stage_out_local_local_1_0 JOB_TERMINATED 9.0 local - 8
1768530495 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 8
1768530495 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9.0 local - 8
1768530495 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1768530495 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1768530495 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1768530495 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1768530500 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1768530495 register_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1768530500 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 9
1768530495 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1768530500 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1768530505 clean_up_local_level_4_0 SUBMIT 11.0 local - 10
1768530505 register_local_1_0 SUBMIT 12.0 local - 11
1768530505 clean_up_local_level_4_0 EXECUTE 11.0 local - 10
1768530505 register_local_1_0 EXECUTE 12.0 local - 11
1768530508 register_local_1_0 JOB_TERMINATED 12.0 local - 11
1768530510 register_local_1_0 JOB_SUCCESS 0 local - 11
1768530510 register_local_1_0 POST_SCRIPT_STARTED 12.0 local - 11
1768530508 clean_up_local_level_4_0 JOB_TERMINATED 11.0 local - 10
1768530510 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 10
1768530510 clean_up_local_level_4_0 POST_SCRIPT_STARTED 11.0 local - 10
1768530510 register_local_1_0 POST_SCRIPT_TERMINATED 12.0 local - 11
1768530515 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 11
1768530510 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 11.0 local - 10
1768530515 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 10
1768530520 cleanup_plankifier-wf_0_local SUBMIT 13.0 local - 12
1768530521 cleanup_plankifier-wf_0_local EXECUTE 13.0 local - 12
1768530523 cleanup_plankifier-wf_0_local JOB_TERMINATED 13.0 local - 12
1768530525 cleanup_plankifier-wf_0_local JOB_SUCCESS 0 local - 12
1768530525 cleanup_plankifier-wf_0_local POST_SCRIPT_STARTED 13.0 local - 12
1768530526 cleanup_plankifier-wf_0_local POST_SCRIPT_TERMINATED 13.0 local - 12
1768530530 cleanup_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 12
1768530530 INTERNAL *** DAGMAN_FINISHED 0 ***
1768530532 INTERNAL *** MONITORD_FINISHED 0 ***
