1768436580 INTERNAL *** MONITORD_STARTED ***
1768436579 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768436580 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768436580 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768436584 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768436584 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768436587 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768436590 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768436590 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768436588 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768436590 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768436590 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768436590 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768436595 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768436590 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768436595 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768436600 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768436600 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768436600 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768436603 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768436605 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768436605 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768436605 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768436610 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768436621 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768436688 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768436690 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768436690 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768436690 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768436695 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768436700 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768436700 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768436700 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768436701 count_ID0000002 EXECUTE 7.0 condorpool - 6
1768436702 count_ID0000002 JOB_TERMINATED 7.0 condorpool - 6
1768436705 count_ID0000002 JOB_SUCCESS 0 condorpool - 6
1768436705 count_ID0000002 POST_SCRIPT_STARTED 7.0 condorpool - 6
1768436703 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1768436705 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1768436705 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1768436705 count_ID0000002 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1768436710 count_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 6
1768436705 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1768436710 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1768436715 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1768436715 stage_out_local_local_1_0 SUBMIT 9.0 local - 8
1768436715 register_local_0_0 SUBMIT 10.0 local - 9
1768436716 stage_out_local_local_1_0 EXECUTE 9.0 local - 8
1768436716 register_local_0_0 EXECUTE 10.0 local - 9
1768436716 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1768436718 register_local_0_0 JOB_TERMINATED 10.0 local - 9
1768436720 register_local_0_0 JOB_SUCCESS 0 local - 9
1768436720 register_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1768436719 stage_out_local_local_1_0 JOB_TERMINATED 9.0 local - 8
1768436720 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 8
1768436720 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9.0 local - 8
1768436720 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1768436725 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1768436725 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1768436721 register_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1768436725 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 9
1768436721 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1768436725 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1768436725 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1768436730 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1768436730 clean_up_local_level_4_0 SUBMIT 11.0 local - 10
1768436730 register_local_1_0 SUBMIT 12.0 local - 11
1768436730 clean_up_local_level_4_0 EXECUTE 11.0 local - 10
1768436730 register_local_1_0 EXECUTE 12.0 local - 11
1768436732 register_local_1_0 JOB_TERMINATED 12.0 local - 11
1768436735 register_local_1_0 JOB_SUCCESS 0 local - 11
1768436735 register_local_1_0 POST_SCRIPT_STARTED 12.0 local - 11
1768436732 clean_up_local_level_4_0 JOB_TERMINATED 11.0 local - 10
1768436735 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 10
1768436735 clean_up_local_level_4_0 POST_SCRIPT_STARTED 11.0 local - 10
1768436735 register_local_1_0 POST_SCRIPT_TERMINATED 12.0 local - 11
1768436740 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 11
1768436735 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 11.0 local - 10
1768436740 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 10
1768436745 cleanup_plankifier-wf_0_local SUBMIT 13.0 local - 12
1768436745 cleanup_plankifier-wf_0_local EXECUTE 13.0 local - 12
1768436747 cleanup_plankifier-wf_0_local JOB_TERMINATED 13.0 local - 12
1768436750 cleanup_plankifier-wf_0_local JOB_SUCCESS 0 local - 12
1768436750 cleanup_plankifier-wf_0_local POST_SCRIPT_STARTED 13.0 local - 12
1768436750 cleanup_plankifier-wf_0_local POST_SCRIPT_TERMINATED 13.0 local - 12
1768436755 cleanup_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 12
1768436755 INTERNAL *** DAGMAN_FINISHED 0 ***
1768436757 INTERNAL *** MONITORD_FINISHED 0 ***
