1768443081 INTERNAL *** MONITORD_STARTED ***
1768443080 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768443081 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768443081 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768443085 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768443085 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768443087 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768443091 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768443091 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768443088 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768443091 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768443091 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768443091 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768443096 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768443091 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768443096 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768443101 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768443101 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768443101 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768443103 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768443106 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768443106 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768443106 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768443111 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768443122 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768443191 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768443196 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768443196 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768443196 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768443201 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768443206 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768443206 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768443206 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768443207 count_ID0000002 EXECUTE 7.0 condorpool - 6
1768443208 count_ID0000002 JOB_TERMINATED 7.0 condorpool - 6
1768443211 count_ID0000002 JOB_SUCCESS 0 condorpool - 6
1768443211 count_ID0000002 POST_SCRIPT_STARTED 7.0 condorpool - 6
1768443209 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1768443211 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1768443211 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1768443211 count_ID0000002 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1768443216 count_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 6
1768443211 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1768443216 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1768443221 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1768443221 stage_out_local_local_1_0 SUBMIT 9.0 local - 8
1768443221 register_local_0_0 SUBMIT 10.0 local - 9
1768443221 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1768443221 stage_out_local_local_1_0 EXECUTE 9.0 local - 8
1768443221 register_local_0_0 EXECUTE 10.0 local - 9
1768443224 register_local_0_0 JOB_TERMINATED 10.0 local - 9
1768443226 register_local_0_0 JOB_SUCCESS 0 local - 9
1768443226 register_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1768443224 stage_out_local_local_1_0 JOB_TERMINATED 9.0 local - 8
1768443226 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 8
1768443226 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9.0 local - 8
1768443226 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1768443226 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1768443226 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1768443226 register_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1768443231 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 9
1768443226 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1768443231 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1768443226 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1768443231 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1768443236 clean_up_local_level_4_0 SUBMIT 11.0 local - 10
1768443236 register_local_1_0 SUBMIT 12.0 local - 11
1768443237 clean_up_local_level_4_0 EXECUTE 11.0 local - 10
1768443237 register_local_1_0 EXECUTE 12.0 local - 11
1768443239 register_local_1_0 JOB_TERMINATED 12.0 local - 11
1768443241 register_local_1_0 JOB_SUCCESS 0 local - 11
1768443241 register_local_1_0 POST_SCRIPT_STARTED 12.0 local - 11
