1768535140 INTERNAL *** MONITORD_STARTED ***
1768535139 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768535140 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768535140 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768535144 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768535144 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768535146 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768535150 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768535150 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768535147 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768535150 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768535150 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768535150 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768535155 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768535150 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768535155 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768535160 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768535160 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768535160 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768535162 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768535165 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768535165 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768535165 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768535170 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768535181 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768535250 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768535250 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768535250 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768535250 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768535255 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768535260 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768535260 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768535260 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768535261 count_ID0000002 EXECUTE 7.0 condorpool - 6
1768535262 count_ID0000002 JOB_TERMINATED 7.0 condorpool - 6
1768535265 count_ID0000002 JOB_SUCCESS 0 condorpool - 6
1768535265 count_ID0000002 POST_SCRIPT_STARTED 7.0 condorpool - 6
1768535263 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1768535265 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1768535265 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1768535265 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1768535270 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1768535265 count_ID0000002 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1768535270 count_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 6
1768535275 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1768535275 stage_out_local_local_1_0 SUBMIT 9.0 local - 8
1768535275 register_local_0_0 SUBMIT 10.0 local - 9
1768535275 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1768535276 stage_out_local_local_1_0 EXECUTE 9.0 local - 8
1768535276 register_local_0_0 EXECUTE 10.0 local - 9
1768535278 register_local_0_0 JOB_TERMINATED 10.0 local - 9
1768535280 register_local_0_0 JOB_SUCCESS 0 local - 9
1768535280 register_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1768535278 stage_out_local_local_1_0 JOB_TERMINATED 9.0 local - 8
1768535280 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 8
1768535280 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9.0 local - 8
1768535280 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1768535280 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1768535280 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1768535280 register_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
