1768525317 INTERNAL *** MONITORD_STARTED ***
1768525316 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768525317 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768525317 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768525321 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768525321 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768525324 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768525327 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768525327 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768525325 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768525327 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768525327 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768525327 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768525332 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768525327 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768525332 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768525337 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768525337 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768525337 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768525340 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768525342 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768525342 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768525342 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768525347 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768525354 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768525420 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768525422 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768525422 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768525423 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768525427 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768525432 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768525432 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768525432 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768525432 count_ID0000002 EXECUTE 7.0 condorpool - 6
1768525434 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1768525437 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1768525437 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1768525434 count_ID0000002 JOB_TERMINATED 7.0 condorpool - 6
1768525437 count_ID0000002 JOB_SUCCESS 0 condorpool - 6
1768525437 count_ID0000002 POST_SCRIPT_STARTED 7.0 condorpool - 6
1768525437 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1768525442 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1768525437 count_ID0000002 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1768525442 count_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 6
1768525447 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1768525447 stage_out_local_local_1_0 SUBMIT 9.0 local - 8
1768525447 register_local_0_0 SUBMIT 10.0 local - 9
1768525447 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1768525447 stage_out_local_local_1_0 EXECUTE 9.0 local - 8
1768525447 register_local_0_0 EXECUTE 10.0 local - 9
1768525449 register_local_0_0 JOB_TERMINATED 10.0 local - 9
1768525452 register_local_0_0 JOB_SUCCESS 0 local - 9
1768525452 register_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1768525449 stage_out_local_local_1_0 JOB_TERMINATED 9.0 local - 8
1768525452 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 8
1768525452 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9.0 local - 8
1768525451 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1768525452 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1768525452 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1768525452 register_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1768525457 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 9
1768525452 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1768525457 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
