1768528184 INTERNAL *** MONITORD_STARTED ***
1768528183 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768528184 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768528184 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768528188 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768528188 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768528191 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768528194 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768528194 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768528192 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768528194 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768528194 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768528194 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768528199 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768528194 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768528199 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768528204 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768528204 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768528204 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768528206 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768528209 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768528209 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768528209 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768528214 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768528223 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768528551 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768528554 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768528554 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768528555 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768528559 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768528564 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768528564 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768528564 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768528564 count_ID0000002 EXECUTE 7.0 condorpool - 6
1768528565 count_ID0000002 JOB_TERMINATED 7.0 condorpool - 6
1768528569 count_ID0000002 JOB_SUCCESS 0 condorpool - 6
1768528569 count_ID0000002 POST_SCRIPT_STARTED 7.0 condorpool - 6
1768528566 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1768528569 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1768528569 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1768528569 count_ID0000002 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1768528574 count_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 6
1768528569 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1768528574 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1768528579 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1768528579 stage_out_local_local_1_0 SUBMIT 9.0 local - 8
1768528579 register_local_0_0 SUBMIT 10.0 local - 9
1768528579 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1768528579 stage_out_local_local_1_0 EXECUTE 9.0 local - 8
1768528579 register_local_0_0 EXECUTE 10.0 local - 9
1768528581 register_local_0_0 JOB_TERMINATED 10.0 local - 9
1768528584 register_local_0_0 JOB_SUCCESS 0 local - 9
1768528584 register_local_0_0 POST_SCRIPT_STARTED 10.0 local - 9
1768528581 stage_out_local_local_1_0 JOB_TERMINATED 9.0 local - 8
1768528584 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 8
1768528584 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9.0 local - 8
1768528583 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1768528584 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1768528584 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1768528584 register_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 9
1768528589 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 9
1768528584 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1768528589 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1768528584 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1768528589 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1768528594 clean_up_local_level_4_0 SUBMIT 11.0 local - 10
1768528594 register_local_1_0 SUBMIT 12.0 local - 11
1768528594 clean_up_local_level_4_0 EXECUTE 11.0 local - 10
1768528594 register_local_1_0 EXECUTE 12.0 local - 11
1768528596 register_local_1_0 JOB_TERMINATED 12.0 local - 11
1768528599 register_local_1_0 JOB_SUCCESS 0 local - 11
1768528599 register_local_1_0 POST_SCRIPT_STARTED 12.0 local - 11
1768528596 clean_up_local_level_4_0 JOB_TERMINATED 11.0 local - 10
1768528599 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 10
1768528599 clean_up_local_level_4_0 POST_SCRIPT_STARTED 11.0 local - 10
1768528599 register_local_1_0 POST_SCRIPT_TERMINATED 12.0 local - 11
1768528604 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 11
1768528599 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 11.0 local - 10
1768528604 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 10
1768528609 cleanup_plankifier-wf_0_local SUBMIT 13.0 local - 12
1768528609 cleanup_plankifier-wf_0_local EXECUTE 13.0 local - 12
1768528611 cleanup_plankifier-wf_0_local JOB_TERMINATED 13.0 local - 12
1768528614 cleanup_plankifier-wf_0_local JOB_SUCCESS 0 local - 12
1768528614 cleanup_plankifier-wf_0_local POST_SCRIPT_STARTED 13.0 local - 12
1768528614 cleanup_plankifier-wf_0_local POST_SCRIPT_TERMINATED 13.0 local - 12
1768528619 cleanup_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 12
1768528619 INTERNAL *** DAGMAN_FINISHED 0 ***
