1768533174 INTERNAL *** MONITORD_STARTED ***
1768533173 INTERNAL *** DAGMAN_STARTED 1.0 ***
1768533174 create_dir_plankifier-wf_0_local SUBMIT 2.0 local - 1
1768533174 stage_worker_local_plankifier-wf_0_local SUBMIT 3.0 local - 2
1768533178 create_dir_plankifier-wf_0_local EXECUTE 2.0 local - 1
1768533178 stage_worker_local_plankifier-wf_0_local EXECUTE 3.0 local - 2
1768533180 create_dir_plankifier-wf_0_local JOB_TERMINATED 2.0 local - 1
1768533184 create_dir_plankifier-wf_0_local JOB_SUCCESS 0 local - 1
1768533184 create_dir_plankifier-wf_0_local POST_SCRIPT_STARTED 2.0 local - 1
1768533181 stage_worker_local_plankifier-wf_0_local JOB_TERMINATED 3.0 local - 2
1768533184 stage_worker_local_plankifier-wf_0_local JOB_SUCCESS 0 local - 2
1768533184 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_STARTED 3.0 local - 2
1768533184 create_dir_plankifier-wf_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1768533189 create_dir_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1768533184 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_TERMINATED 3.0 local - 2
1768533189 stage_worker_local_plankifier-wf_0_local POST_SCRIPT_SUCCESS 0 local - 2
1768533194 stage_in_local_local_1_0 SUBMIT 4.0 local - 3
1768533194 plankifier_ID0000001 SUBMIT 5.0 condorpool - 4
1768533195 stage_in_local_local_1_0 EXECUTE 4.0 local - 3
1768533197 stage_in_local_local_1_0 JOB_TERMINATED 4.0 local - 3
1768533199 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1768533199 stage_in_local_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1768533199 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1768533204 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1768533217 plankifier_ID0000001 EXECUTE 5.0 condorpool - 4
1768533328 plankifier_ID0000001 JOB_TERMINATED 5.0 condorpool - 4
1768533330 plankifier_ID0000001 JOB_SUCCESS 0 condorpool - 4
1768533330 plankifier_ID0000001 POST_SCRIPT_STARTED 5.0 condorpool - 4
1768533330 plankifier_ID0000001 POST_SCRIPT_TERMINATED 5.0 condorpool - 4
1768533335 plankifier_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1768533340 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1768533340 count_ID0000002 SUBMIT 7.0 condorpool - 6
1768533340 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1768533342 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
